data,hora,taxa
2023/05/31,15:15:54,13.907454963981326
2023/05/31,15:15:57,14.145166092099462
2023/05/31,15:15:59,13.233708819731351
2023/05/31,15:16:01,13.171213365325023
2023/05/31,15:16:03,13.983680396131309
2023/05/31,15:16:05,14.060553509228155
2023/05/31,15:16:08,13.792779970037802
2023/05/31,15:16:10,13.979088199407222
2023/05/31,15:16:12,13.293405764340074
2023/05/31,15:16:14,13.527939636990027
2023/05/31,15:18:04,13.551210870725443
2023/05/31,15:18:07,13.732784259658898
2023/05/31,15:18:09,13.826952889463627
2023/05/31,15:18:12,13.508156636466891
2023/05/31,15:18:14,13.692186550731087
2023/05/31,15:18:16,14.076792916025422
2023/05/31,15:18:18,14.071562967350776
2023/05/31,15:18:21,13.604278832225768
2023/05/31,15:18:23,13.55064561517552
2023/05/31,15:18:26,13.982703193970433
