data,hora,taxa
2023/05/31,15:00:13,13.380051032232865
2023/05/31,15:00:16,13.587680142926661
2023/05/31,15:00:17,13.527761336255084
2023/05/31,15:00:19,13.669231796011172
2023/05/31,15:00:21,13.50573346303164
2023/05/31,15:00:24,13.949427653586088
2023/05/31,15:00:26,13.207622204613898
2023/05/31,15:00:28,13.606884683657666
2023/05/31,15:00:31,13.370246414636677
2023/05/31,15:00:33,14.130176043574988
2023/05/31,15:18:52,14.08151172644611
2023/05/31,15:18:54,13.752515243315285
2023/05/31,15:18:57,13.466150332941535
2023/05/31,15:18:59,13.540543973438101
2023/05/31,15:19:02,13.758849609339466
2023/05/31,15:19:04,13.257926390674797
2023/05/31,15:19:06,13.333423864590666
2023/05/31,15:19:08,13.48180296929945
2023/05/31,15:19:10,14.148587572012799
2023/05/31,15:19:13,13.387133758904358
